Name,District,Terms,party,district,Terms_in_Senate
Senator W. Ted Alexander (Rep),Republican - District 44,2 ( 0 in House ),Republican,44,2
Senator Deanna Ballard (Rep),Republican - District 45,3+ ( 0 in House ),Republican,45,3
Senator Lisa S. Barnes (Rep),Republican - District 11,1 ( 1 in House ),Republican,11,1
Senator Sydney Batch (Dem),Democrat - District 17,+ ( 1 in House ),Democrat,17,NA
Senator Ernestine Bazemore (Dem),Democrat - District 3,1 ( 0 in House ),Democrat,3,1
Senator Phil Berger (Rep),Republican - District 30,11 ( 0 in House ),Republican,30,11
Senator Dan Blue (Dem),Democrat - District 14,6+ ( 13+ in House ),Democrat,14,6
"Senator Danny Earl Britt, Jr. (Rep)",Republican - District 13,3 ( 0 in House ),Republican,13,3
Senator Jim Burgin (Rep),Republican - District 12,2 ( 0 in House ),Republican,12,2
Senator Jay J. Chaudhuri (Dem),Democrat - District 15,3+ ( 0 in House ),Democrat,15,3
Senator Ben Clark (Dem),Democrat - District 21,5 ( 0 in House ),Democrat,21,5
Senator Kevin Corbin (Rep),Republican - District 50,1 ( 2 in House ),Republican,50,1
"Senator David W. Craven, Jr. (Rep)",Republican - District 26,1+ ( 0 in House ),Republican,26,1
Senator Sarah Crawford (Dem),Democrat - District 18,1 ( 0 in House ),Democrat,18,1
Senator Warren Daniel (Rep),Republican - District 46,6 ( 0 in House ),Republican,46,6
Senator Don Davis (Dem),Democrat - District 5,6 ( 0 in House ),Democrat,5,6
Senator Kirk deViere (Dem),Democrat - District 19,2 ( 0 in House ),Democrat,19,2
Senator Chuck Edwards (Rep),Republican - District 48,3+ ( 0 in House ),Republican,48,3
"Senator Milton F. ""Toby"" Fitch, Jr. (Dem)",Democrat - District 4,2+ ( 8+ in House ),Democrat,4,2
Senator Carl Ford (Rep),Republican - District 33,2 ( 3 in House ),Republican,33,2
Senator Valerie P. Foushee (Dem),Democrat - District 23,4+ ( + in House ),Democrat,23,4
Senator Amy S. Galey (Rep),Republican - District 24,1 ( 0 in House ),Republican,24,1
Senator Michael Garrett (Dem),Democrat - District 27,2 ( 0 in House ),Democrat,27,2
Senator Kathy Harrington (Rep),Republican - District 43,6 ( 0 in House ),Republican,43,6
Senator Ralph Hise (Rep),Republican - District 47,6 ( 0 in House ),Republican,47,6
Senator Brent Jackson (Rep),Republican - District 10,6 ( 0 in House ),Republican,10,6
Senator Jeff Jackson (Dem),Democrat - District 37,4+ ( 0 in House ),Democrat,37,4
Senator Steve Jarvis (Rep),Republican - District 29,1 ( 1 in House ),Republican,29,1
Senator Todd Johnson (Rep),Republican - District 35,2 ( 0 in House ),Republican,35,2
Senator Joyce Krawiec (Rep),Republican - District 31,4+ ( + in House ),Republican,31,4
Senator Michael A. Lazzara (Rep),Republican - District 6,1 ( 0 in House ),Republican,6,1
Senator Michael V. Lee (Rep),Republican - District 9,3+ ( 0 in House ),Republican,9,3
"Senator Paul A. Lowe, Jr. (Dem)",Democrat - District 32,3+ ( 0 in House ),Democrat,32,3
Senator Natasha R. Marcus (Dem),Democrat - District 41,2 ( 0 in House ),Democrat,41,2
Senator Julie Mayfield (Dem),Democrat - District 49,1 ( 0 in House ),Democrat,49,1
Senator Tom McInnis (Rep),Republican - District 25,4 ( 0 in House ),Republican,25,4
Senator Mujtaba A. Mohammed (Dem),Democrat - District 38,2 ( 0 in House ),Democrat,38,2
Senator Natalie S. Murdock (Dem),Democrat - District 20,1+ ( 0 in House ),Democrat,20,1
Senator Paul Newton (Rep),Republican - District 36,3 ( 0 in House ),Republican,36,3
Senator Wiley Nickel (Dem),Democrat - District 16,2 ( 0 in House ),Democrat,16,2
Senator Jim Perry (Rep),Republican - District 7,1+ ( 0 in House ),Republican,7,1
Senator Dean Proctor (Rep),Republican - District 42,1+ ( 0 in House ),Republican,42,1
Senator Bill Rabon (Rep),Republican - District 8,6 ( 0 in House ),Republican,8,6
Senator Gladys A. Robinson (Dem),Democrat - District 28,6 ( 0 in House ),Democrat,28,6
Senator DeAndrea Salvador (Dem),Democrat - District 39,1 ( 0 in House ),Democrat,39,1
Senator Norman W. Sanderson (Rep),Republican - District 2,5 ( 1 in House ),Republican,2,5
Senator Vickie Sawyer (Rep),Republican - District 34,2+ ( 0 in House ),Republican,34,2
Senator Sam Searcy (Dem),Democrat - District 17,NA,Democrat,17,NA
Senator Bob Steinburg (Rep),Republican - District 1,2 ( 3 in House ),Republican,1,2
Senator Joyce Waddell (Dem),Democrat - District 40,4 ( 0 in House ),Democrat,40,4
Senator Mike Woodard (Dem),Democrat - District 22,5 ( 0 in House ),Democrat,22,5
